Country,Demonym,Sentiment,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,Happy,Angry,Surprise,Sad,Fear,F_Score,,,,,,,,,,
Afghanistan,Afghan,-0.338794,0.023415098,1.19E-05,0.000173931,0.002385625,0.005187933,0.006741635,0.000779747,0.1077,0.0445,0.1438,0.314,0.3892,0.978353397,,,,,,,,,,
Albania,Albanian,0.062119,0.009984673,1.93E-05,0.000753443,0.003946033,0.002370486,0.000228636,0.000119783,0.1245,0.0596,0.1258,0.2497,0.4293,0.971104798,,,,,,,,,,
Algeria,Algerian,-0.253977,0.021192892,2.94E-05,0.000277748,0.005296868,0.005185447,0.001146066,0.000142257,0.1235,0.0538,0.1389,0.2671,0.4164,0.978421538,,,,,,,,,,
Andorra,Andorran,0.326406,0.018878616,1.59E-05,0.006867112,0.001651303,0.006771453,0.000756141,0.000292064,0.1173,0.0575,0.2161,0.2224,0.3873,0.989027793,,,,,,,,,,
Angola,Angolan,0.029933,0.029401769,3.69E-05,0.000292436,0.005128259,0.019523749,0.000252719,0.000161735,0.1218,0.0724,0.1392,0.2545,0.3909,0.982012881,,,,,,,,,,
Antigua and Barbuda,Antiguan and Barbudans,0.194064,0.006480529,2.05E-05,0.000178068,0.002306367,0.001457741,0.000173043,0.000522819,0.1457,0.0485,0.1435,0.2303,0.4223,0.989083728,,,,,,,,,,
Argentina,Argentine or Argentinean,0.398423,0.011634993,4.69E-06,0.003646991,0.000281434,0.00543253,0.000682848,0.000262787,0.1237,0.0574,0.1381,0.2301,0.4403,0.982269193,,,,,,,,,,
Armenia,Armenian,0.130242,0.016389344,0.00010714,0.000345225,0.005124911,0.005208849,0.000502083,0.000301511,0.1314,0.0603,0.1355,0.2553,0.4173,0.982398019,,,,,,,,,,
Australia,Australian or Aussie,0.412736,0.026814118,1.12E-05,0.000197719,0.001951512,0.021703219,7.75E-05,0.000171577,0.1323,0.0493,0.1081,0.2775,0.4319,0.961539662,,,,,,,,,,
Austria,Austrian,0.418968,0.018568875,2.28E-05,0.002141023,0.001488323,0.010670611,0.000131002,0.000111362,0.147,0.0515,0.106,0.2479,0.4465,0.976545144,,,,,,,,,,
Azerbaijan,Azerbaijani,0.125916,0.00385476,7.37E-06,9.34E-05,0.001076684,0.000795645,0.000127683,6.53E-05,0.1149,0.0436,0.1139,0.2803,0.4476,0.973172058,,,,,,,,,,
Bahrain,Bahraini,-0.045988,0.008193872,7.24E-06,0.000103739,0.002057342,0.001589569,0.000340662,5.91E-05,0.121,0.0465,0.1134,0.2697,0.4498,0.951040905,,,,,,,,,,
Bangladesh,Bangladeshi,-0.201553,0.022310503,2.66E-05,0.001147714,0.006791872,0.006918775,0.000334373,0.000221432,0.1196,0.043,0.1306,0.2292,0.4675,0.970572951,,,,,,,,,,
Barbados,Barbadian or Bajuns,0.34574,0.034946006,4.88E-05,0.003942293,0.010080459,0.017065657,0.000251174,0.003436876,0.1725,0.0534,0.1521,0.2365,0.3756,0.996461884,,,,,,,,,,
Belarus,Belarusian,0.20032,0.007684481,2.47E-06,9.61E-05,0.000211188,0.005138297,7.06E-05,4.58E-05,0.1117,0.0591,0.1285,0.26,0.4302,0.971211889,,,,,,,,,,
Belgium,Belgian,0.195705,0.007127779,2.13E-05,0.000112156,0.002114619,0.002018894,0.000187847,5.25E-05,0.143,0.0406,0.1161,0.2609,0.4397,0.977010643,,,,,,,,,,
Belize,Belizean,0.438218,0.015501384,1.84E-05,0.000663848,0.002900217,0.006631261,0.000252518,0.000155253,0.1454,0.0517,0.159,0.2284,0.4061,0.987809843,,,,,,,,,,
Benin,Beninese,0.537018,0.024984468,9.82E-06,0.000106239,0.005346491,0.017494123,0.000363364,7.58E-05,0.1505,0.0504,0.129,0.2456,0.4245,0.973986793,,,,,,,,,,
Bhutan,Bhutanese,0.171529,0.014133109,7.37E-06,0.000139352,0.001284256,0.004095278,0.004016152,0.001217055,0.1294,0.0406,0.1242,0.2507,0.4452,0.980382246,,,,,,,,,,
Bolivia,Bolivian,0.183617,0.009112797,3.24E-06,0.00366922,0.000488522,0.002973462,0.000508597,6.09E-05,0.1546,0.0567,0.1311,0.2517,0.4058,0.986834251,,,,,,,,,,
Bosnia and Herzegovina,Bosnian and Herzegovinian,0.005441,0.012570169,7.19E-05,0.004793283,0.004023942,0.001944482,0.000244089,0.000250978,0.1068,0.0497,0.1495,0.2439,0.4508,0.971965314,,,,,,,,,,
Botswana,Motswana (singular) and Batswana (plural),0.36144,0.012854912,2.02E-05,0.00023074,0.006019795,0.003129277,0.000119973,0.000154151,0.0893,0.0472,0.2666,0.1723,0.4143,0.985608234,,,,,,,,,,
Brazil,Brazilian,0.324711,0.015174303,7.02E-06,9.66E-05,0.002096479,0.008769346,0.001109875,0.000381914,0.1374,0.0588,0.1284,0.2588,0.4066,0.972076384,,,,,,,,,,
Brunei,Bruneian,0.35077,0.006956016,2.77E-05,0.000244239,0.002362237,0.002001913,0.000119131,0.000196524,0.1274,0.0369,0.1347,0.2527,0.4386,0.967864751,,,,,,,,,,
Bulgaria,Bulgarian,0.280293,0.00473634,2.75E-06,7.74E-05,0.000198823,0.002471416,8.40E-05,5.74E-05,0.1464,0.0506,0.1154,0.2503,0.4388,0.977258189,,,,,,,,,,
Burkina Faso,Burkinabe,0.225305,0.025998119,4.61E-05,0.000257037,0.003687641,0.0155068,0.000420354,0.000134537,0.1312,0.0479,0.175,0.2354,0.4106,0.982440878,,,,,,,,,,
Burundi,Burundian,0.241397,0.026432422,3.03E-05,0.001947167,0.003150858,0.012484053,0.003891423,0.00085388,0.1469,0.0568,0.1488,0.2422,0.406,0.981000352,,,,,,,,,,
Cambodia,Cambodian,0.248299,0.009241002,4.61E-06,0.00011499,0.001141353,0.004053889,0.000489014,0.000198447,0.1352,0.0585,0.1308,0.2742,0.4009,0.974300953,,,,,,,,,,
Cameroon,Cameroonian,-0.052872,0.012398633,3.10E-05,0.001943301,0.003719988,0.001958108,0.000586721,0.001262706,0.1318,0.0586,0.1307,0.2533,0.4157,0.989914117,,,,,,,,,,
Canada,Canadian,0.24351,0.013189307,2.02E-05,0.000149939,0.003744758,0.00558249,0.000119306,0.000286202,0.1262,0.0492,0.1044,0.2391,0.4808,0.977415638,,,,,,,,,,
Cape Verde,Cape Verdian or Cape Verdean,0.314922,0.010149533,1.42E-05,0.000150674,0.004824368,0.001544322,0.000418224,0.000699193,0.133,0.051,0.17,0.214,0.4325,0.986074208,,,,,,,,,,
Central African Republic,Central African,-0.006129,0.008718422,1.02E-05,0.000136186,0.002658247,0.001696153,0.000124819,0.000108546,0.0716,0.0457,0.204,0.2254,0.4526,0.972239116,,,,,,,,,,
Chad,Chadian,0.411334,0.015102292,6.26E-05,0.000265707,0.006084751,0.003586938,0.000254154,0.000297996,0.1457,0.0512,0.1792,0.2169,0.3967,0.991505054,,,,,,,,,,
Chile,Chilean,0.065518,0.019529586,6.20E-06,0.00063529,0.000649497,0.011807815,0.000240213,0.000920755,0.1362,0.0565,0.1198,0.2304,0.448,0.98023463,,,,,,,,,,
China,Chinese,0.495443,0.038018858,4.37E-06,0.000114539,0.013353184,0.025738692,0.000114228,0.000167549,0.1302,0.0578,0.1217,0.2656,0.4246,0.972789144,,,,,,,,,,
Colombia,Colombian,-0.038418,0.017631149,2.77E-05,0.000141253,0.001328919,0.011400215,0.000526795,0.000336474,0.0987,0.0578,0.1282,0.281,0.4338,0.978392878,,,,,,,,,,
Comoros,Comoran,0.444103,0.024187038,4.66E-05,0.001023776,0.002305295,0.012069557,0.000465106,0.002856015,0.1287,0.0523,0.2255,0.2252,0.3687,0.992721956,,,,,,,,,,
Costa Rica,Costa Rican,0.111101,0.004981459,4.34E-06,0.000412126,0.000873751,0.001170234,0.00011938,0.000169414,0.1325,0.0478,0.1376,0.2171,0.4545,0.985425732,,,,,,,,,,
Cote d'Ivoire,Ivorian,0.517639,0.012239661,4.90E-05,0.006446792,0.002979314,0.003107332,0.000165312,0.000197672,0.1642,0.0507,0.1227,0.2358,0.4265,0.982717357,,,,,,,,,,
Croatia,Croat or Croatian,0.057831,0.012025135,7.03E-05,0.000247495,0.002007312,0.004886196,0.000714439,0.000123894,0.1199,0.0438,0.1622,0.2628,0.4106,0.984316185,,,,,,,,,,
Cuba,Cuban,0.27373,0.013929144,4.55E-06,0.003754632,0.000748504,0.005567152,0.000176352,0.000318628,0.1328,0.0527,0.127,0.263,0.4234,0.986383369,,,,,,,,,,
Cyprus,Cypriot,0.394803,0.009753235,6.00E-05,0.000239334,0.002025305,0.00405367,0.000262967,0.000318617,0.1555,0.0538,0.1736,0.2284,0.3895,0.980053869,,,,,,,,,,
Czech Republic,Czech,0.281869,0.030120301,5.58E-06,0.000818034,0.0017906,0.021567574,0.000151233,0.000105931,0.1561,0.0521,0.1147,0.2388,0.4386,0.985654919,,,,,,,,,,
Democratic Republic of the Congo,Congolese (Demoncratic),-0.218605,0.009649608,7.45E-06,0.000156222,0.001990872,0.002733785,0.000162554,0.000293565,0.0886,0.0594,0.1387,0.2512,0.4519,0.989112616,,,,,,,,,,
Denmark,Dane or Danish,0.570102,0.014800519,6.42E-05,0.000539866,0.003579292,0.00623524,0.000308088,0.000248629,0.152,0.0727,0.1615,0.2271,0.377,0.995404529,,,,,,,,,,
Djibouti,Djibouti,0.365305,0.011039797,4.93E-05,0.000268128,0.003923984,0.001588641,0.000573442,0.000366451,0.1473,0.0601,0.1514,0.2128,0.4179,0.992478928,,,,,,,,,,
Dominica,Dominican,0.495528,0.034554039,7.45E-05,0.004254213,0.003155009,0.022499633,0.000201618,0.000681111,0.1328,0.0392,0.1875,0.2349,0.4044,0.985024035,,,,,,,,,,
Dominican Republic,Dominican-Republic,0.338621,0.019528709,2.13E-05,0.000187774,0.00197239,0.0106355,0.000324376,0.000226461,0.1468,0.0527,0.1679,0.233,0.3991,0.994688862,,,,,,,,,,
East Timor,East Timorese,0.383319,0.029993295,2.97E-05,0.00940852,0.003113286,0.016512073,0.000168439,0.000410271,0.1523,0.0556,0.1348,0.2306,0.4162,0.985170295,,,,,,,,,,
Ecuador,Ecuadorean,0.310254,0.004612955,1.51E-05,0.000166773,0.000738411,0.001322464,0.000144026,0.000961791,0.1347,0.0465,0.1346,0.2314,0.4521,0.972017447,,,,,,,,,,
Egypt,Egyptian,0.169664,0.026957402,6.99E-05,0.000215186,0.010461973,0.008551483,0.000643431,0.000133295,0.1529,0.0582,0.1551,0.2452,0.3788,0.982556239,,,,,,,,,,
El Salvador,Salvadoran,0.083257,0.01528942,8.49E-06,0.001815897,0.001482342,0.004167945,0.000885386,0.002495363,0.1222,0.0493,0.1504,0.2417,0.4279,0.97106095,,,,,,,,,,
Equatorial Guinea,Equatorial Guinean or Equatoguinean,0.423521,0.007051468,1.49E-05,0.000144972,0.002325386,0.001569396,0.000100283,0.00197257,0.1084,0.0562,0.2189,0.2036,0.4651,0.977102033,,,,,,,,,,
Eritrea,Eritrean,-0.084679,0.010757367,1.88E-05,0.000608143,0.003537206,0.001875951,0.000207238,0.000139472,0.0809,0.0418,0.142,0.2688,0.4267,0.983775967,,,,,,,,,,
Estonia,Estonian,0.444766,0.011729462,3.27E-06,0.001245836,0.000199549,0.006905793,9.16E-05,0.000505179,0.1658,0.0401,0.1125,0.2551,0.4396,0.989438049,,,,,,,,,,
Ethiopia,Ethiopian,0.397842,0.016070344,4.13E-05,0.000231435,0.00411434,0.005089274,0.000198025,0.000202188,0.1343,0.0487,0.1444,0.2336,0.4223,0.985148476,,,,,,,,,,
Federated States of Micronesia,Micronesian,0.434119,0.022069285,4.16E-05,0.000183707,0.01067016,0.009295035,0.000201768,0.000904303,0.1411,0.0462,0.1677,0.2383,0.4568,0.965643453,,,,,,,,,,
Fiji,Fijian,0.303841,0.028351181,4.12E-05,0.008165953,0.004776141,0.011971084,0.000528141,0.000469632,0.1331,0.064,0.1373,0.2431,0.4108,0.984270768,,,,,,,,,,
Finland,Finn or Finnish,0.661934,0.004150656,4.99E-06,9.87E-05,0.000585803,0.002168144,4.88E-05,0.000102877,0.1632,0.0542,0.1611,0.2,0.3546,0.994284786,,,,,,,,,,
France,French or Frenchmanwoman,0.678951,0.025152177,5.55E-05,0.000350958,0.00436082,0.013839119,0.000317408,0.001549918,0.185,0.0751,0.1642,0.2113,0.4248,0.989222533,,,,,,,,,,
Gabon,Gabonese,0.306503,0.007600088,6.31E-05,0.000197808,0.002231025,0.002631224,0.000204808,0.000174745,0.1368,0.0478,0.1845,0.1965,0.4125,0.983784966,,,,,,,,,,
Georgia,Georgian,0.096801,0.011536032,7.12E-05,0.000171538,0.002576004,0.002975421,0.001346611,0.000125638,0.1498,0.0592,0.1323,0.2517,0.4258,0.978392106,,,,,,,,,,
Germany,German,0.258555,0.028868029,4.10E-05,0.008871664,0.003154686,0.012616101,0.000238232,0.000139384,0.1451,0.059,0.1237,0.2456,0.4768,0.984421671,,,,,,,,,,
Ghana,Ghanaian,0.388983,0.007752282,1.11E-05,0.000149377,0.002152797,0.001981814,0.000111219,0.000907917,0.139,0.05,0.1132,0.2208,0.4345,0.979505318,,,,,,,,,,
Greece,Greek,0.298756,0.007700553,8.32E-05,0.000261059,0.002150785,0.002726189,0.000212728,0.000198919,0.1194,0.0592,0.1658,0.2209,0.4341,0.980306389,,,,,,,,,,
Grenada,Grenadian or Grenadan,-0.084057,0.009443873,1.09E-05,0.000113152,0.002474932,0.001555649,0.001652637,7.96E-05,0.0986,0.0573,0.1563,0.2531,0.4522,0.980675784,,,,,,,,,,
Guatemala,Guatemalan,0.027102,0.01337201,1.04E-05,0.000179216,0.0024188,0.00271066,0.003384097,0.00026591,0.1056,0.057,0.1408,0.2446,0.4537,0.971595588,,,,,,,,,,
Guinea,Guinea-Bissauan,-0.326829,0.008857918,8.77E-06,0.000138842,0.001425555,0.002075117,0.000223063,0.000249276,0.0793,0.0447,0.1499,0.2419,0.4335,0.996525596,,,,,,,,,,
Guinea-Bissau,Guinean,0.246301,0.034025373,2.42E-05,0.000298555,0.001750647,0.020193367,0.00321767,0.000529608,0.1112,0.0542,0.1737,0.2285,0.3907,0.988208188,,,,,,,,,,
Guyana,Guyanese,0.13388,0.017783185,8.21E-06,0.000244494,0.001553122,0.01033206,0.000313933,0.000351041,0.1207,0.0608,0.1908,0.2263,0.4369,0.989326149,,,,,,,,,,
Haiti,Haitian,0.001673,0.016683745,1.23E-05,0.000183737,0.004868161,0.004968623,0.000692445,0.000625456,0.1081,0.0434,0.1429,0.2676,0.4263,0.986010141,,,,,,,,,,
Honduras,Honduran,-0.087232,0.017589385,3.76E-06,0.004993239,0.001139107,0.007602549,0.000159605,0.000118898,0.0997,0.0544,0.1529,0.2678,0.4448,0.976440407,,,,,,,,,,
Hungary,Hungarian,0.273026,0.027971008,6.44E-05,0.000579417,0.003505295,0.019696141,0.000218155,0.000206177,0.1363,0.0548,0.1279,0.2273,0.4288,0.987342828,,,,,,,,,,
Iceland,Icelander,0.555353,0.03105639,5.70E-06,0.011318123,0.000438423,0.013755068,0.001413047,0.000399819,0.1658,0.0641,0.153,0.2464,0.436,0.987680953,,,,,,,,,,
India,Indian,0.365068,0.039879433,2.16E-05,0.000155321,0.025983828,0.018672242,0.000295707,0.000293859,0.1319,0.0496,0.1315,0.2501,0.4332,0.979134882,,,,,,,,,,
Indonesia,Indonesian,-0.015719,0.021977347,3.08E-05,0.000171031,0.005312961,0.009571634,0.000253663,0.000502256,0.1514,0.0439,0.1474,0.2245,0.413,0.96620481,,,,,,,,,,
Iran,Iranian,0.043709,0.031864107,0.000241963,0.008792637,0.010802867,0.011873218,0.000832234,0.000585701,0.1202,0.0504,0.1406,0.2759,0.4082,0.973918217,,,,,,,,,,
Iraq,Iraqi,-0.378689,0.024650681,5.56E-05,0.000229849,0.0040318,0.003929608,0.008596285,0.001216005,0.0984,0.0515,0.143,0.2981,0.3804,0.990876573,,,,,,,,,,
Ireland,Irish orÂ Irishman/woman,0.619408,0.016686689,7.04E-05,0.000379755,0.005426982,0.003721474,0.000396511,0.00210173,0.1417,0.0557,0.1958,0.226,0.4613,0.976702014,,,,,,,,,,
Israel,Israeli,0.074644,0.019085897,5.54E-05,0.000332994,0.007242535,0.004881951,0.000584187,0.000323542,0.1142,0.0426,0.1253,0.2466,0.4133,0.98327696,,,,,,,,,,
Italy,Italian,0.246004,0.023033474,1.68E-05,0.000586627,0.003896759,0.00954344,0.000816925,0.000240833,0.1458,0.0572,0.1193,0.2544,0.3979,0.982673839,,,,,,,,,,
Jamaica,Jamaican,0.218311,0.029387773,0.000121741,0.007683662,0.007300272,0.014588802,0.000342337,0.007362391,0.1553,0.0568,0.1262,0.2651,0.4084,0.994555964,,,,,,,,,,
Japan,Japanese,0.515006,0.030292651,6.33E-06,0.002931382,0.002841481,0.017630738,0.000407461,0.000120425,0.1671,0.0526,0.1283,0.2427,0.4145,0.985783585,,,,,,,,,,
Jordan,Jordanian,-0.211486,0.016612172,3.83E-05,0.000131135,0.006150562,0.002072308,0.003538172,8.86E-05,0.1013,0.0537,0.1514,0.2691,0.4436,0.977238203,,,,,,,,,,
Kazakhstan,Kazakhstani,0.190307,0.01336747,2.73E-05,0.0001577,0.003750662,0.006366242,0.000150568,0.000106274,0.1163,0.0522,0.1336,0.2433,0.4424,0.989650703,,,,,,,,,,
Kenya,Kenyan,-0.209938,0.034949836,2.62E-05,0.000212159,0.017566861,0.017913282,0.000354071,0.002144662,0.0909,0.048,0.1348,0.2743,0.4063,0.993404953,,,,,,,,,,
Kiribati,I-Kiribati,0.238765,0.015511056,2.36E-05,0.000202155,0.004615304,0.005619664,0.000250134,0.000182276,0.1151,0.0471,0.1496,0.2589,0.3611,0.994205958,,,,,,,,,,
Kuwait,Kuwaiti,-0.119764,0.008982081,3.22E-05,0.000779278,0.003572429,0.001306847,0.000426806,5.82E-05,0.1341,0.0557,0.1224,0.2704,0.4047,0.986844209,,,,,,,,,,
Kygryzstan,Kyrgyz or Kirghiz,0.027009,0.011408953,6.36E-05,0.000329411,0.002671321,0.003505168,0.000308379,0.000772863,0.123,0.0573,0.1671,0.2487,0.4331,0.996134741,,,,,,,,,,
Laos,Lao or Laotian,0.543567,0.006991945,9.07E-06,0.0001336,0.001938547,0.002510765,0.000120989,0.000101999,0.1328,0.0449,0.1675,0.1918,0.4085,0.981870091,,,,,,,,,,
Latvia,Latvian,0.132024,0.010738963,1.15E-05,0.000162052,0.001135878,0.004198922,0.000119561,0.001364807,0.137,0.0624,0.1337,0.2595,0.4372,0.982291763,,,,,,,,,,
Lebanon,Lebanese,-0.235012,0.01254435,3.77E-05,0.000162289,0.005311497,0.001973995,0.000495532,0.000130508,0.0973,0.0553,0.1392,0.2706,0.4342,0.985854373,,,,,,,,,,
Lesotho,Mosotho (singular) and BasothoÂ (plural),0.564305,0.00892374,3.77E-05,0.000269941,0.003822976,0.002507821,0.000201711,0.000130481,0.103,0.0686,0.2666,0.1771,0.4084,0.974706577,,,,,,,,,,
Liberia,Liberian,0.078531,0.015625363,2.23E-05,0.000195625,0.004492222,0.003539613,0.000639482,0.000628248,0.1139,0.0635,0.1359,0.2422,0.4124,0.967908682,,,,,,,,,,
Libya,Libyan,-0.39807,0.024145235,1.25E-05,0.002228285,0.003203532,0.007877747,0.000577619,0.000141696,0.1078,0.0671,0.1361,0.2773,0.4444,0.986577179,,,,,,,,,,
Liechtenstein,Liechtensteiner,0.287862,0.033645703,8.49E-05,0.000539647,0.00670562,0.015056814,0.001312394,0.000127932,0.1213,0.0551,0.1214,0.2575,0.3858,0.969387527,,,,,,,,,,
